Relationship,Domain,From Entity,To Entity,Edge Table,From Key,To Key,Operation Types,Is Polymorphic,Is Cross-Domain,OWL Properties,Weight Columns,Edge Attributes,SQL Filter,Has Flow Config,Flow Type,Description,Business Logic
ARInvoiceForCustomer,demand,ARInvoice,RetailLocation,ar_invoices,id,customer_location_id,direct_join,N,N,functional,,,,N,,AR invoice is for a customer location,Links AR invoice to the customer retail location. Functional (each invoice is for one customer). Used for customer-level revenue analysis and collections tracking.
ARInvoiceForShipment,demand,ARInvoice,Shipment,ar_invoices,id,shipment_id,direct_join,N,N,,,,,N,,AR invoice generated for a shipment,Links AR invoice to the shipment that triggered it. Connects fulfillment execution to revenue recognition. Each shipment generates an AR invoice upon delivery.
ARInvoiceHasLines,demand,ARInvoice,ARInvoiceLine,ar_invoice_lines,invoice_id,"invoice_id, line_number",direct_join,N,N,,,,,Y,financial,AR invoice has line items,One-to-many: AR invoice header to its line items. THIS is where SKU-level revenue data lives — unit_price and line_amount ARE populated (unlike order_lines). The source of truth for product-level revenue attribution.
ARInvoiceLineForSKU,demand,ARInvoiceLine,SKU,ar_invoice_lines,"invoice_id, line_number",sku_id,direct_join,N,Y,,,,,N,,AR invoice line is for a specific SKU,Links AR invoice line to the SKU sold. This is the revenue attribution join — line_amount here is the actual revenue for this SKU sale. Critical for product profitability analysis.
ARReceiptForInvoice,demand,ARReceipt,ARInvoice,ar_receipts,id,invoice_id,direct_join,N,N,,,,,Y,financial,Receipt of payment against an AR invoice,Links receipt to the AR invoice being collected. Completes the order-to-cash financial cycle. Compare receipt amount against invoice total_amount for collection rate analysis.
DeductionForSKU,demand,TradeDeduction,SKU,trade_deductions,id,sku_id,direct_join,N,Y,,,,,N,,Trade deduction references a SKU (denormalized for analytics),Denormalized SKU reference on deductions for analytics. Enables trade spend by SKU without joining through invoice lines. Cross-domain: deductions (demand) reference SKUs (supply).
DeductionFromProgram,demand,TradeDeduction,TradeProgram,trade_deductions,id,trade_program_id,direct_join,N,N,functional,,,,N,,Trade deduction is calculated from a trade program,Links each deduction to the trade program that generated it. deduction_amount = list_price_per_case × quantity_cases × trade_program.rate_pct.
DeductionFromPromoEvent,demand,TradeDeduction,PromoEvent,trade_deductions,id,promo_event_id,direct_join,N,N,functional,,,,N,,Trade deduction linked to a specific promo event (nullable),Links promo_fund deductions to the specific promo event (when the invoice falls within the event window). NULL for non-promo deductions and promo_fund deductions outside event windows.
DeductionOnInvoice,demand,TradeDeduction,ARInvoice,trade_deductions,id,ar_invoice_id,direct_join,N,N,,,,,N,,Trade deduction applied to an AR invoice,"Links deductions to the AR invoice they apply to. Combined with ar_line_number, identifies the specific invoice line. Key invariant: SUM(deduction_amount) per invoice = gross_revenue - net_revenue."
DemandForecastForSKU,demand,DemandForecast,SKU,demand_forecasts,id,sku_id,direct_join,N,Y,,,,,N,,Demand forecast for a specific SKU,Links demand forecast to the SKU being forecasted. Used for demand planning and forecast accuracy analysis.
DispositionForReturn,demand,DispositionLog,Return,disposition_logs,return_id,return_id,direct_join,N,N,functional,,,,N,,Disposition action for a specific return,"Links disposition log to its return. Records the final outcome of returned goods after inspection (restock, destroy, rework, donate)."
InventoryAtLocation,demand,Inventory,"Plant, DistributionCenter, RetailLocation",inventory,id,location_id,direct_join,Y,Y,,,,,N,,"Inventory at a location (polymorphic: plant, DC, or retail)","Polymorphic location with explicit type discriminator. location_type values: plant → plants table, rdc → distribution_centers (type='rdc'), customer_dc → distribution_centers (type='customer_dc'), store → retail_locations. Store inventory is ~98% of records."
InventoryForSKU,demand,Inventory,SKU,inventory,id,sku_id,direct_join,N,Y,,,,,N,,Inventory snapshot for a specific SKU,Links inventory snapshots to the SKU being tracked. Each inventory row is a point-in-time snapshot for a specific SKU at a specific location.
OrderForRetailLocation,demand,Order,RetailLocation,orders,id,retail_location_id,direct_join,N,N,functional,,,,N,,Order delivered to a retail location,Links order to its delivery retail location. Non-polymorphic — this is the clean FK for store-level analysis. Functional (each order is delivered to one location).
OrderFromChannel,demand,Order,Channel,orders,id,source_id,direct_join,N,N,functional,,,,N,,Order placed through a sales channel,"Links order to its source channel. CAUTION: source_id is polymorphic — values 1-7 point to channels table, values 67+ point to retail_locations table. No discriminator column. This relationship is only valid when source_id <= 7."
OrderHasLines,demand,Order,OrderLine,order_lines,order_id,"order_id, line_number",direct_join,N,N,,,,,Y,material,Order has line items,One-to-many: order header to its line items. Lines specify SKUs and quantities. WARNING: unit_price on order_lines is ALWAYS ZERO — do not use for revenue calculations.
OrderLineForSKU,demand,OrderLine,SKU,order_lines,"order_id, line_number",sku_id,direct_join,N,Y,,,,,N,,Order line is for a specific SKU,Links order line to the SKU being ordered. Used for product-level demand analysis (volume only — not revenue).
PromoEventForSKU,demand,PromoEvent,SKU,promo_events,id,sku_id,direct_join,N,Y,functional,,,,N,,Promo event promotes a specific SKU,Links promo events to the SKU being promoted. Cross-domain: promo events (demand/trade_management) reference SKUs (supply/product). lift_pct on the event estimates incremental volume for this SKU.
PromoEventFromProgram,demand,PromoEvent,TradeProgram,promo_events,id,trade_program_id,direct_join,N,N,functional,,,,N,,Promo event is funded by a trade program,Links promo events to their parent trade program. All promo events must reference a promo_fund-type program. The parent program's rate_pct is the base deduction; the event's incremental_spend is the additional cost.
ReturnFromRetailLocation,demand,Return,RetailLocation,returns,id,source_id,direct_join,N,N,functional,,,,N,,Return originated from a retail location,Links return to the retail location where it originated. Functional (each return comes from one store). Used for return rate analysis by store.
ReturnHasLines,demand,Return,ReturnLine,return_lines,return_id,"return_id, line_number",direct_join,N,N,,,,,N,,Return has line items,"One-to-many: return header to its line items. Each line records the returned SKU, quantity, and condition assessment."
ReturnLineForSKU,demand,ReturnLine,SKU,return_lines,"return_id, line_number",sku_id,direct_join,N,Y,,,,,N,,Return line is for a specific SKU,Links return line to the SKU being returned. Used for product-level return analysis and quality tracking.
ReturnToDC,demand,Return,DistributionCenter,returns,id,dc_id,direct_join,N,Y,functional,,,,N,,Return is sent to a distribution center,"Links return to the distribution center where it is processed (inspected, dispositioned). Functional (each return is sent to one DC). Returns flow from retail locations to DCs for processing."
ShipmentFromOrigin,demand,Shipment,"Plant, DistributionCenter, RetailLocation",shipments,id,origin_id,direct_join,Y,Y,functional,,,,N,,"Shipment originates from a location (polymorphic: plant, DC, or retail)","Polymorphic origin without an explicit type column. Use route_type to infer origin type: plant_to_* implies Plant origin, rdc_to_* implies DistributionCenter (RDC) origin, customer_dc_to_* implies DistributionCenter (customer DC) origin."
ShipmentHasLines,demand,Shipment,ShipmentLine,shipment_lines,shipment_id,"shipment_id, line_number",direct_join,N,N,,,,,Y,material,Shipment has line items,"One-to-many: shipment header to its line items. Each line records an SKU, quantity in cases, and weight. Used for fulfillment verification and logistics weight planning."
ShipmentLineForSKU,demand,ShipmentLine,SKU,shipment_lines,"shipment_id, line_number",sku_id,direct_join,N,Y,,,,,N,,Shipment line carries a specific SKU,Links shipment line to the SKU being shipped. Used for product-level logistics analysis and fulfillment tracking.
ShipmentToDestination,demand,Shipment,"Plant, DistributionCenter, RetailLocation",shipments,id,destination_id,direct_join,Y,Y,functional,,,,N,,"Shipment delivered to a location (polymorphic: plant, DC, or retail)","Polymorphic destination without an explicit type column. Use route_type to infer destination type: *_to_rdc implies DistributionCenter (RDC), *_to_customer_dc implies DistributionCenter (customer DC), *_to_store implies RetailLocation."
TradeProgramForChannel,demand,TradeProgram,Channel,trade_programs,id,channel_id,direct_join,N,N,functional,,,,N,,Trade program belongs to a sales channel,"Links trade programs to their sales channel. Each channel has multiple programs (scan, rebate, promo, slotting, off-invoice) that together decompose the total trade discount rate."
GLJournalToAccount,orchestrate,GLJournal,ChartOfAccounts,gl_journal,id,account_code,direct_join,N,N,,,,,N,,GL journal entry posts to a chart of accounts entry,"Links GL journal entries to their chart of accounts classification. IMPORTANT: join key is account_code (VARCHAR), NOT id (INTEGER). ~48M journal entries across 14 accounts."
InvoiceVarianceForAPInvoice,orchestrate,InvoiceVariance,APInvoice,invoice_variances,id,invoice_id,direct_join,N,Y,,,,,N,,Variance recorded against an AP invoice,"Links variance records to the AP invoice with discrepancies. ~8% of invoices have price variances, ~5% have quantity variances."
APInvoiceForGR,procurement,APInvoice,GoodsReceipt,ap_invoices,id,gr_id,direct_join,N,N,,,,,N,,AP invoice matches a goods receipt,"Links AP invoice to the goods receipt it matches. Part of three-way match: PO ↔ GR ↔ AP Invoice. When all three agree on quantity and cost, the invoice is approved for payment."
APInvoiceFromSupplier,procurement,APInvoice,Supplier,ap_invoices,id,supplier_id,direct_join,N,N,functional,,,,N,,AP invoice is from a supplier,Links AP invoice to the supplier who issued it. Functional (each invoice is from one supplier). Used for supplier spend analysis and payables tracking.
APInvoiceHasLines,procurement,APInvoice,APInvoiceLine,ap_invoice_lines,invoice_id,"invoice_id, line_number",direct_join,N,N,,,,,Y,financial,AP invoice has line items,"One-to-many: AP invoice header to its line items. Lines detail what was invoiced — ingredient, quantity, unit cost, line amount. Used for three-way match at the line level."
APInvoiceLineForIngredient,procurement,APInvoiceLine,Ingredient,ap_invoice_lines,"invoice_id, line_number",ingredient_id,direct_join,N,N,,,,,N,,AP invoice line is for a specific ingredient,Links AP invoice line to the ingredient being invoiced. Used for ingredient-level cost tracking and variance analysis against PO terms.
APPaymentForInvoice,procurement,APPayment,APInvoice,ap_payments,id,invoice_id,direct_join,N,N,,,,,Y,financial,Payment made against an AP invoice,Links payment to the AP invoice being settled. Completes the procure-to-pay financial cycle. ~10% of payments include early-pay discount (discount_amount > 0).
GRAtPlant,procurement,GoodsReceipt,Plant,goods_receipts,id,plant_id,direct_join,N,Y,functional,,,,N,,Goods receipt delivered to a plant,Links goods receipt to the plant that received the materials. Functional (each GR is at one plant). Confirms physical receipt at the manufacturing site.
GRFromShipment,procurement,GoodsReceipt,Shipment,goods_receipts,id,shipment_id,direct_join,N,Y,functional,,,,N,,Goods receipt received from a shipment,Links goods receipt to the inbound shipment that delivered it. Functional (each GR comes from one shipment). Connects logistics to receiving.
GRHasLines,procurement,GoodsReceipt,GoodsReceiptLine,goods_receipt_lines,gr_id,"gr_id, line_number",direct_join,N,N,,,,,Y,material,Goods receipt has line items,One-to-many: GR header to its line items. Each line records actual quantity received per ingredient. Used for receipt verification against PO lines.
GRLineForIngredient,procurement,GoodsReceiptLine,Ingredient,goods_receipt_lines,"gr_id, line_number",ingredient_id,direct_join,N,N,,,,,N,,GR line received a specific ingredient,Links each GR line to the ingredient received. Used for material traceability — confirms which ingredient was physically received.
POAtPlant,procurement,PurchaseOrder,Plant,purchase_orders,id,plant_id,direct_join,N,Y,functional,,,,N,,Purchase order delivered to a plant,Links each purchase order to the receiving plant. Functional (each PO is delivered to exactly one plant). Determines where procured materials enter the manufacturing network.
POFromSupplier,procurement,PurchaseOrder,Supplier,purchase_orders,id,supplier_id,direct_join,N,N,functional,,,,N,,Purchase order placed with a supplier,Links each purchase order to its supplier. Functional (each PO has exactly one supplier). This is the procurement relationship in the procure-to-pay chain.
POHasLines,procurement,PurchaseOrder,PurchaseOrderLine,purchase_order_lines,po_id,"po_id, line_number",direct_join,N,N,,,,,Y,material,Purchase order has line items,"One-to-many: PO header to its line items. Each line specifies an ingredient, quantity, and unit cost. Lines are the detail level for three-way match verification."
POLineForIngredient,procurement,PurchaseOrderLine,Ingredient,purchase_order_lines,"po_id, line_number",ingredient_id,direct_join,N,N,,,,,N,,PO line is for a specific ingredient,Links each PO line to the ingredient being ordered. Used for ingredient-level procurement analysis and traceability from supplier through to production.
SupplierOffersIngredient,procurement,Supplier,Ingredient,supplier_ingredients,supplier_id,ingredient_id,direct_join,N,N,,,"unit_cost, lead_time_days, min_order_qty",,Y,material,Supplier offers an ingredient at a given cost/lead time,"Many-to-many sourcing matrix between suppliers and ingredients. Each edge carries commercial terms (unit_cost, lead_time_days, min_order_qty). Multiple suppliers may offer the same ingredient — this is the basis for procurement optimization."
BatchAtPlant,supply,Batch,Plant,batches,id,plant_id,direct_join,N,N,,,,,N,,Batch produced at a plant,Links batch to the plant where it was produced. For plant-level production volume and capacity utilization analysis.
BatchConsumesIngredient,supply,Batch,Ingredient,batch_ingredients,batch_id,ingredient_id,direct_join,N,Y,,,quantity_kg,,Y,material,Batch consumed ingredients during production,Actual ingredient consumption during production. quantity_kg = total kg consumed. Expected = formula_ingredients.quantity_kg × batches.quantity_kg (per-case × cases). Mass balance: sum of inputs should approximate batch output / yield_percent. Use for planned-vs-actual analysis and full traceability.
BatchFromWorkOrder,supply,Batch,WorkOrder,batches,id,wo_id,direct_join,N,N,,,,,N,,Batch produced from a work order,Links batch to its originating work order. A work order may produce multiple batches. This connects production execution to production planning.
BatchProducesProduct,supply,Batch,"SKU, BulkIntermediate",batches,id,product_id,direct_join,Y,N,functional,,,,N,,Batch produces a product (polymorphic: SKU or BulkIntermediate),Polymorphic: batch produces either a SKU (product_type='finished_good') or a BulkIntermediate (product_type='bulk_intermediate' or 'premix'). The product_type column is the type discriminator.
BatchUsesFormula,supply,Batch,Formula,batches,id,formula_id,direct_join,N,N,,,,,N,,Batch uses a specific formula,"Links batch to the formula used for production. Through the formula, connects to ingredient requirements and the product being made."
FormulaForProduct,supply,Formula,"SKU, BulkIntermediate",formulas,id,product_id,direct_join,Y,N,functional,,,,N,,Formula produces a product (polymorphic: SKU or BulkIntermediate),"Polymorphic: formula produces either a SKU (bom_level=0) or a BulkIntermediate (bom_level=1 or 2). The bom_level column is the type discriminator. 500 formulas produce SKUs, 49 produce primary bulk intermediates, 13 produce premix sub-intermediates."
FormulaHasIngredients,supply,Formula,Ingredient,formula_ingredients,formula_id,ingredient_id,"direct_join, hierarchical_aggregation, path_aggregation",N,Y,,,"sequence, quantity_kg",,N,,Formula requires ingredients (BOM),"BOM explosion semantics — quantity_kg is per-batch requirement. For total requirements, multiply through the hierarchy via N-level traversal (formula → sub-formula → ingredients). IMPORTANT: ingredient_id is polymorphic — points to ingredients table (raw materials), bulk_intermediates table (bom_level=1 primary bulks or bom_level=2 premixes). No discriminator column; must LEFT JOIN both tables. Diamond dependencies exist — a raw material may appear in both a premix formula AND directly in its parent bulk formula."
ProductionLineAtPlant,supply,ProductionLine,Plant,production_lines,id,plant_id,direct_join,N,N,functional,,,is_active = true,N,,Production line is located at a plant,Links production lines to their plant. Functional (each line is at one plant). The sql_filter (is_active=true) ensures only operational lines are considered. line_type on the production line determines category capability.
RouteSegmentDestination,supply,RouteSegment,"Plant, DistributionCenter, RetailLocation",route_segments,id,destination_id,"direct_join, shortest_path, centrality, connected_components, resilience_analysis",Y,N,"functional, is_weighted","distance_km, transit_time_hours",,,N,,Route segment ends at a location (polymorphic),"Polymorphic destination of transport network edges. Destination types: plant, rdc, customer_dc, store. Retail locations (store) are destination-only nodes — the final delivery point. Note: destination_type value is 'store' not 'retail'."
RouteSegmentOrigin,supply,RouteSegment,"Plant, DistributionCenter, Supplier",route_segments,id,origin_id,"direct_join, shortest_path, centrality, connected_components, resilience_analysis",Y,N,"functional, is_weighted","distance_km, transit_time_hours",,,N,,Route segment originates from a location (polymorphic),"Polymorphic origin of transport network edges. Origin types: supplier (100 segments), plant (42 segments), rdc (38 segments), customer_dc (3,817 segments). Suppliers are origin-only nodes — they ship TO the network but nothing ships TO them."
SKUSupersedes,supply,SKU,SKU,skus,id,supersedes_sku_id,"direct_join, recursive_traversal",N,N,"asymmetric, irreflexive, acyclic",,,,N,,SKU supersedes another SKU (alias/replacement chain),Self-referential alias chain for SKU replacements. 21 SKUs (~4.2%) with -OLD suffix have supersedes_sku_id pointing to their replacement. Chains are depth-1 (one rename generation — no multi-generation recursive chains). Chain is acyclic and asymmetric. Used to resolve current SKU code from legacy codes.
WorkOrderAtPlant,supply,WorkOrder,Plant,work_orders,id,plant_id,direct_join,N,N,functional,,,,N,,Work order is executed at a plant,Links work order to the plant where production occurs. Functional (each WO is at one plant). Determines manufacturing site for capacity planning.
WorkOrderUsesFormula,supply,WorkOrder,Formula,work_orders,id,formula_id,direct_join,N,N,functional,,,,N,,Work order uses a specific formula,"Links work order to the formula (recipe/BOM) being produced. Functional (each WO uses one formula). Through the formula, determines what product is being made and what ingredients are needed."
