Category,Entity/Relationship,Domain,Detail 1,Detail 2,Detail 3,Detail 4,Detail 5,Detail 6,Detail 7
State Machine,APInvoice,procurement,status,open,Y,N,paid,,
State Machine,APInvoice,procurement,status,paid,N,Y,,,
State Machine,ARInvoice,demand,status,open,Y,N,"partial, paid, disputed",,
State Machine,ARInvoice,demand,status,partial,N,N,paid,,
State Machine,ARInvoice,demand,status,paid,N,Y,,,
State Machine,ARInvoice,demand,status,disputed,N,N,"paid, bad_debt",,
State Machine,ARInvoice,demand,status,bad_debt,N,Y,,,
State Machine,Batch,supply,status,pending,Y,N,in_progress,,
State Machine,Batch,supply,status,in_progress,N,N,completed,,
State Machine,Batch,supply,status,completed,N,Y,,,
State Machine,GoodsReceipt,procurement,status,received,Y,N,inspected,,
State Machine,GoodsReceipt,procurement,status,inspected,N,N,posted,,
State Machine,GoodsReceipt,procurement,status,posted,N,Y,,,
State Machine,Order,demand,status,pending,Y,N,allocated,,
State Machine,Order,demand,status,allocated,N,N,shipped,,
State Machine,Order,demand,status,shipped,N,N,delivered,,
State Machine,Order,demand,status,delivered,N,Y,,,
State Machine,PromoEvent,demand,status,planned,Y,N,active,,
State Machine,PromoEvent,demand,status,active,N,N,completed,,
State Machine,PromoEvent,demand,status,completed,N,Y,,,
State Machine,PurchaseOrder,procurement,status,open,Y,N,received,,
State Machine,PurchaseOrder,procurement,status,received,N,N,closed,,
State Machine,PurchaseOrder,procurement,status,closed,N,Y,,,
State Machine,Return,demand,status,requested,Y,N,approved,,
State Machine,Return,demand,status,approved,N,N,received,,
State Machine,Return,demand,status,received,N,N,processed,,
State Machine,Return,demand,status,processed,N,Y,,,
State Machine,Shipment,demand,status,planned,Y,N,in_transit,,
State Machine,Shipment,demand,status,in_transit,N,N,delivered,,
State Machine,Shipment,demand,status,delivered,N,Y,,,
State Machine,WorkOrder,supply,status,planned,Y,N,in_progress,,
State Machine,WorkOrder,supply,status,in_progress,N,N,complete,,
State Machine,WorkOrder,supply,status,complete,N,Y,,,
Flow,APInvoiceHasLines,procurement,financial,line_amount,invoice_id,procure_to_pay,USD,,
Flow,APPaymentForInvoice,procurement,financial,amount,payment_date,procure_to_pay,USD,,
Flow,ARInvoiceHasLines,demand,financial,line_amount,invoice_id,order_to_cash,USD,,
Flow,ARReceiptForInvoice,demand,financial,amount,receipt_date,order_to_cash,USD,,
Flow,BatchConsumesIngredient,supply,material,quantity_kg,batch_id,production_mass_balance,kg,,
Flow,GRHasLines,procurement,material,quantity_kg,gr_id,procure_to_pay,kg,,
Flow,OrderHasLines,demand,material,quantity_cases,order_id,order_to_cash,cases,,
Flow,POHasLines,procurement,material,quantity_kg,po_id,procure_to_pay,kg,,
