Entity,Domain,Subdomain,Table,Primary Key,Natural Key,Description,Column Count,Has State Machine,States,Axiom Count,Action Count,Business Logic
ARInvoice,demand,accounts_receivable,ar_invoices,id,invoice_number,Accounts receivable invoice to customer,10,Y,"open, partial, paid, disputed, bad_debt",0,0,"Source of truth for recognized NET revenue (after trade deductions). total_amount reflects net revenue post-deductions. channel column enables direct revenue-by-channel analysis. customer_location_id → retail_locations. shipment_id links to fulfillment. Trade deductions are in trade_deductions table (ar_invoice_id FK), decomposing gross-to-net by program type."
ARInvoiceLine,demand,accounts_receivable,ar_invoice_lines,"invoice_id, line_number",,Line item on an AR invoice,3,N,,0,0,"Composite PK (invoice_id, line_number). This is where SKU-level revenue data lives — unit_price and line_amount ARE populated here. quantity_cases for volume, line_amount for revenue attribution by SKU."
ARReceipt,demand,accounts_receivable,ar_receipts,id,,Receipt of payment against an AR invoice,2,N,,0,0,Collection of AR invoices. amount is the payment received. This completes the order-to-cash cycle. Compare amount against ar_invoices.total_amount for collection rate analysis.
Channel,demand,customer_service,channels,id,channel_code,"Sales channel (retail, wholesale, e-commerce)",4,N,,0,0,"Sales channels (MASS_RETAIL, GROCERY, ECOMMERCE, etc.). channel_type column for B2B/B2C classification. Channels are the demand signal grouping for sales analysis. Each channel has trade programs (trade_programs.channel_id) defining deduction rates by type (scan, rebate, promo, slotting, off-invoice)."
DemandForecast,demand,planning,demand_forecasts,id,,Demand forecast for SKU at location,5,N,,0,0,"Forward-looking demand projections by SKU and location. forecast_version enables scenario comparison (e.g., baseline vs optimistic). location_type for polymorphic location resolution (same as inventory). forecast_type distinguishes baseline from promotional forecasts."
DispositionLog,demand,reverse_logistics,disposition_logs,"return_id, return_line_number",,Disposition action for returned goods,2,N,,0,0,"Records what happens to returned goods after inspection. disposition values include restock, destroy, rework, donate. No PK constraint in the database (composite key is logical). quantity_cases may differ from return_line quantity if partial disposition."
Inventory,demand,customer_service,inventory,id,,Daily inventory snapshot by location and SKU,5,N,,1,0,"Point-in-time inventory snapshots. day column (integer 1-365) enables temporal trend analysis. location_type discriminates the polymorphic location_id: plant → plants, rdc → distribution_centers (type='rdc'), customer_dc → distribution_centers (type='customer_dc'), store → retail_locations. Store inventory is the majority of records by volume."
Order,demand,customer_service,orders,id,order_number,Customer order header,7,Y,"pending, allocated, shipped, delivered",0,2,"Demand signal document. source_id is POLYMORPHIC: low IDs point to channels table, higher IDs point to retail_locations table. No discriminator column — resolved by ID range. retail_location_id is the non-polymorphic delivery destination. day column is the order date (integer 1-365)."
OrderLine,demand,customer_service,order_lines,"order_id, line_number",,Line item on a customer order,3,N,,0,0,"Composite PK (order_id, line_number). Links orders to SKUs with quantity and unit_price. Revenue analysis can use either order_lines or ar_invoice_lines."
PromoEvent,demand,trade_management,promo_events,id,event_code,Time-bound promotional event tied to a trade program and SKU,9,Y,"planned, active, completed",0,0,"Promotional activities that drive incremental volume. Always linked to a promo_fund-type trade program. promo_type values: bogo, tpr (temp price reduction), display, feature. lift_pct is expected volume uplift as decimal (0.30 = 30%). incremental_spend is additional cost beyond the base promo_fund rate for this event."
RetailLocation,demand,customer_service,retail_locations,id,location_code,Retail store or customer delivery point,4,N,,0,0,"Retail endpoints representing stores across all channels. store_format (supermarket, convenience, warehouse, etc.) and channel columns enable segmentation. These are the final delivery points in the supply chain."
Return,demand,reverse_logistics,returns,id,return_number,Customer return (RMA) header,3,Y,"requested, approved, received, processed",0,0,Reverse logistics entry point. source_id points to the retail_location where the return originated. dc_id points to the distribution_center where the return is processed (for inspection and disposition). return_date is day-integer.
ReturnLine,demand,reverse_logistics,return_lines,"return_id, line_number",,Line item on a customer return,3,N,,0,0,"Composite PK (return_id, line_number). Records returned SKU, quantity, and condition. condition column (sellable, damaged, expired, etc.) determines disposition path and recovery value."
Shipment,demand,fulfillment,shipments,id,shipment_number,Outbound shipment to customer or distribution center,6,Y,"planned, in_transit, delivered",1,2,"Fulfillment execution document. origin_id and destination_id are polymorphic WITHOUT explicit type columns. route_type encodes the compound pattern: plant_to_rdc, rdc_to_customer_dc, customer_dc_to_store, etc. Use route_type to infer origin/destination types. freight_cost for logistics cost analysis. IMPORTANT: Shipments come in 3-leg chains (plant_to_rdc → rdc_to_customer_dc → customer_dc_to_store). Only the last-mile leg (customer_dc_to_store) links to AR invoices. For cost-to-deliver / margin analysis, freight from ALL three legs must be allocated downstream to the end channel — upstream legs carry trunk-line and middle-mile freight that is invisible if you only follow AR invoice links."
ShipmentLine,demand,fulfillment,shipment_lines,"shipment_id, line_number",,Line item on a shipment,3,N,,0,0,"Composite PK (shipment_id, line_number). Records what SKUs and quantities were shipped. quantity_cases for fulfillment volume, weight_kg for logistics weight calculations."
TradeDeduction,demand,trade_management,trade_deductions,id,,Per-invoice-line deduction record linking trade program to AR invoice line,8,N,,0,0,"Transactional record of actual trade deductions applied per AR invoice line. Each invoice line gets N deductions (one per trade program for its channel). deduction_amount = list_price_per_case × quantity_cases × program rate_pct. For promo_fund deductions within a promo event window, promo_event_id links to the specific event. Key invariant: SUM(deductions per invoice) = gross_revenue - net_revenue exactly."
TradeProgram,demand,trade_management,trade_programs,id,program_code,Channel-level trade agreement defining a deduction type and base rate,8,N,,0,0,"Standing trade agreements by channel. program_type values: scan_allowance, volume_rebate, off_invoice, promo_fund, slotting. rate_pct is the deduction rate as a decimal fraction (e.g., 0.05 = 5%). Multiple programs per channel decompose the total trade discount. start_day/end_day define the agreement period."
ChartOfAccounts,orchestrate,finance,chart_of_accounts,id,account_code,General ledger chart of accounts,4,N,,0,0,"GL accounts across 4 types: asset, liability, revenue, expense. account_code is the join key used by gl_journal (NOT id). account_name column (not 'name' — HasName mixin was removed from this class) provides the display label."
GLJournal,orchestrate,finance,gl_journal,id,,General ledger journal entry,12,N,,1,0,"Financial backbone recording every financial event as double-entry journal entries. Balanced daily (debits = credits per day). reference_type + reference_id provide full traceability to source documents (purchase_order, goods_receipt, batch, order, shipment, etc.). is_reversal marks correction entries. Some GL postings are deliberate duplicates (reference_id suffix '-DUP'). A few days have small rounding imbalances."
InvoiceVariance,orchestrate,finance,invoice_variances,id,,Price or quantity variance on AP invoice line,2,N,,0,0,Records mismatches between AP invoice lines and PO terms. variance_type is 'price' (unit cost mismatch) or 'qty' (quantity mismatch). expected_value vs actual_value with variance_amount = actual - expected. resolution_status tracks audit progress.
APInvoice,procurement,accounts_payable,ap_invoices,id,invoice_number,Accounts payable invoice from supplier,4,Y,"open, paid",1,0,Source-side payables from suppliers. Links supplier_id + gr_id for three-way match (PO ↔ GR ↔ AP). total_amount for spend analysis. Some lines have price or quantity variances vs PO terms (recorded in invoice_variances table). Some duplicate invoices with -DUP suffix on invoice_number.
APInvoiceLine,procurement,accounts_payable,ap_invoice_lines,"invoice_id, line_number",,Line item on an AP invoice,3,N,,0,0,"Composite PK (invoice_id, line_number). Records what was invoiced: ingredient, quantity, unit cost, line amount. These are the 'actual' values for three-way match against PO lines (expected) and GR lines (received)."
APPayment,procurement,accounts_payable,ap_payments,id,,Payment against an AP invoice,3,N,,0,0,Settlement of AP invoices. Some payments receive early-pay discount. net_amount = amount - discount_amount. This completes the procure-to-pay cycle.
GoodsReceipt,procurement,inbound,goods_receipts,id,gr_number,Goods receipt header confirming delivery of purchased materials,3,Y,"received, inspected, posted",0,0,Inbound receiving confirmation. Links to an inbound shipment (shipment_id) and receiving plant (plant_id). GR confirms physical receipt of materials ordered via PO.
GoodsReceiptLine,procurement,inbound,goods_receipt_lines,"gr_id, line_number",,Line item on a goods receipt,2,N,,0,0,"Composite PK (gr_id, line_number). Records actual quantity received per ingredient. quantity_kg is compared against PO line quantity for receipt verification and against AP invoice lines for three-way match."
Ingredient,procurement,sourcing,ingredients,id,ingredient_code,Raw material input to manufacturing formulas,5,N,,0,0,"Raw materials with real chemical/packaging names. Organized by category and subcategory (active_ingredient, base_material, packaging). bom_level=2 indicates raw material position in BOM hierarchy. cost_per_kg is the standard cost basis for cost rollup calculations through formulas."
PurchaseOrder,procurement,purchasing,purchase_orders,id,po_number,Purchase order header for procuring ingredients,6,Y,"open, received, closed",0,0,Entry point of the procure-to-pay cycle. Each PO links a supplier to a receiving plant. order_date is day-integer (1-365). transaction_sequence_id provides causal ordering across all transaction documents. Lifecycle: PO → GoodsReceipt → APInvoice → APPayment.
PurchaseOrderLine,procurement,purchasing,purchase_order_lines,"po_id, line_number",,Line item on a purchase order,3,N,,0,0,"Composite PK (po_id, line_number). Each line orders a specific ingredient at a quantity and unit cost. These values are the 'expected' baseline for three-way match against goods receipt lines and AP invoice lines."
Supplier,procurement,sourcing,suppliers,id,supplier_code,Raw material and ingredient supplier,5,N,,1,0,Suppliers with real company names. Some have -ALT suffix duplicates on supplier_code requiring entity resolution. country drives lead time and risk modeling. tier column for strategic segmentation.
