Entity,Domain,Table,Attribute,Data Type,Inherited From,Description
ARInvoice,demand,ar_invoices,channel,string,,
ARInvoice,demand,ar_invoices,currency,string,,
ARInvoice,demand,ar_invoices,customer_location_id,integer,,
ARInvoice,demand,ar_invoices,due_date,integer,,
ARInvoice,demand,ar_invoices,invoice_date,integer,,
ARInvoice,demand,ar_invoices,invoice_number,string,,
ARInvoice,demand,ar_invoices,shipment_id,integer,,
ARInvoice,demand,ar_invoices,status,string,,
ARInvoice,demand,ar_invoices,total_amount,decimal,,
ARInvoice,demand,ar_invoices,transaction_sequence_id,integer,,
ARInvoiceLine,demand,ar_invoice_lines,line_amount,decimal,,
ARInvoiceLine,demand,ar_invoice_lines,line_number,integer,LineItem,Line item sequence number within a document
ARInvoiceLine,demand,ar_invoice_lines,quantity_cases,decimal,,
ARReceipt,demand,ar_receipts,amount,decimal,,
ARReceipt,demand,ar_receipts,receipt_date,integer,,
Channel,demand,channels,channel_code,string,,
Channel,demand,channels,channel_type,string,,
Channel,demand,channels,is_active,boolean,HasActiveFlag,Soft-delete / active flag for master data entities
Channel,demand,channels,name,string,HasName,Display name for the entity
DemandForecast,demand,demand_forecasts,forecast_date,integer,,
DemandForecast,demand,demand_forecasts,forecast_quantity_cases,decimal,,
DemandForecast,demand,demand_forecasts,forecast_type,string,,
DemandForecast,demand,demand_forecasts,forecast_version,string,,
DemandForecast,demand,demand_forecasts,location_type,LocationType,,
DispositionLog,demand,disposition_logs,disposition,string,,
DispositionLog,demand,disposition_logs,quantity_cases,decimal,,
Inventory,demand,inventory,day,integer,,
Inventory,demand,inventory,location_id,integer,,
Inventory,demand,inventory,location_type,LocationType,,
Inventory,demand,inventory,quantity_cases,decimal,,
Inventory,demand,inventory,sku_id,integer,,
Order,demand,orders,day,integer,,
Order,demand,orders,order_number,string,,
Order,demand,orders,retail_location_id,integer,,
Order,demand,orders,source_id,integer,,
Order,demand,orders,status,string,,
Order,demand,orders,total_cases,integer,,
Order,demand,orders,transaction_sequence_id,integer,,
OrderLine,demand,order_lines,line_number,integer,LineItem,Line item sequence number within a document
OrderLine,demand,order_lines,quantity_cases,decimal,,
OrderLine,demand,order_lines,unit_price,decimal,,
PromoEvent,demand,promo_events,end_day,integer,,
PromoEvent,demand,promo_events,event_code,string,,
PromoEvent,demand,promo_events,incremental_spend,decimal,,
PromoEvent,demand,promo_events,lift_pct,decimal,,
PromoEvent,demand,promo_events,promo_type,string,,
PromoEvent,demand,promo_events,sku_id,integer,,
PromoEvent,demand,promo_events,start_day,integer,,
PromoEvent,demand,promo_events,status,string,,
PromoEvent,demand,promo_events,trade_program_id,integer,,
RetailLocation,demand,retail_locations,is_active,boolean,HasActiveFlag,Soft-delete / active flag for master data entities
RetailLocation,demand,retail_locations,location_code,string,,
RetailLocation,demand,retail_locations,name,string,HasName,Display name for the entity
RetailLocation,demand,retail_locations,store_format,string,,
Return,demand,returns,return_date,integer,,
Return,demand,returns,return_number,string,,
Return,demand,returns,status,string,TransactionDocument,Lifecycle status (specific values defined per entity's state machine)
ReturnLine,demand,return_lines,condition,string,,
ReturnLine,demand,return_lines,line_number,integer,LineItem,Line item sequence number within a document
ReturnLine,demand,return_lines,quantity_cases,decimal,,
Shipment,demand,shipments,arrival_date,integer,,
Shipment,demand,shipments,freight_cost,decimal,,
Shipment,demand,shipments,route_type,string,,
Shipment,demand,shipments,ship_date,integer,,
Shipment,demand,shipments,shipment_number,string,,
Shipment,demand,shipments,status,string,TransactionDocument,Lifecycle status (specific values defined per entity's state machine)
ShipmentLine,demand,shipment_lines,line_number,integer,LineItem,Line item sequence number within a document
ShipmentLine,demand,shipment_lines,quantity_cases,decimal,,
ShipmentLine,demand,shipment_lines,weight_kg,decimal,,
TradeDeduction,demand,trade_deductions,ar_invoice_id,integer,,
TradeDeduction,demand,trade_deductions,ar_line_number,integer,,
TradeDeduction,demand,trade_deductions,deduction_amount,decimal,,
TradeDeduction,demand,trade_deductions,list_price_per_case,decimal,,
TradeDeduction,demand,trade_deductions,promo_event_id,integer,,
TradeDeduction,demand,trade_deductions,quantity_cases,decimal,,
TradeDeduction,demand,trade_deductions,sku_id,integer,,
TradeDeduction,demand,trade_deductions,trade_program_id,integer,,
TradeProgram,demand,trade_programs,channel_id,integer,,
TradeProgram,demand,trade_programs,end_day,integer,,
TradeProgram,demand,trade_programs,is_active,boolean,HasActiveFlag,Soft-delete / active flag for master data entities
TradeProgram,demand,trade_programs,name,string,HasName,Display name for the entity
TradeProgram,demand,trade_programs,program_code,string,,
TradeProgram,demand,trade_programs,program_type,string,,
TradeProgram,demand,trade_programs,rate_pct,decimal,,
TradeProgram,demand,trade_programs,start_day,integer,,
ChartOfAccounts,orchestrate,chart_of_accounts,account_code,string,,
ChartOfAccounts,orchestrate,chart_of_accounts,account_name,string,,
ChartOfAccounts,orchestrate,chart_of_accounts,account_type,string,,
ChartOfAccounts,orchestrate,chart_of_accounts,is_active,boolean,HasActiveFlag,Soft-delete / active flag for master data entities
GLJournal,orchestrate,gl_journal,account_code,string,,
GLJournal,orchestrate,gl_journal,credit_amount,decimal,,
GLJournal,orchestrate,gl_journal,debit_amount,decimal,,
GLJournal,orchestrate,gl_journal,description,string,,
GLJournal,orchestrate,gl_journal,entry_date,integer,,
GLJournal,orchestrate,gl_journal,is_reversal,boolean,,
GLJournal,orchestrate,gl_journal,node_id,string,,
GLJournal,orchestrate,gl_journal,posting_date,integer,,
GLJournal,orchestrate,gl_journal,product_id,string,,
GLJournal,orchestrate,gl_journal,reference_id,string,,
GLJournal,orchestrate,gl_journal,reference_type,string,,
GLJournal,orchestrate,gl_journal,transaction_sequence_id,integer,,
InvoiceVariance,orchestrate,invoice_variances,variance_amount,decimal,,
InvoiceVariance,orchestrate,invoice_variances,variance_type,string,,
APInvoice,procurement,ap_invoices,invoice_date,integer,,
APInvoice,procurement,ap_invoices,invoice_number,string,,
APInvoice,procurement,ap_invoices,status,string,TransactionDocument,Lifecycle status (specific values defined per entity's state machine)
APInvoice,procurement,ap_invoices,total_amount,decimal,,
APInvoiceLine,procurement,ap_invoice_lines,line_amount,decimal,,
APInvoiceLine,procurement,ap_invoice_lines,line_number,integer,LineItem,Line item sequence number within a document
APInvoiceLine,procurement,ap_invoice_lines,quantity_kg,decimal,,
APPayment,procurement,ap_payments,amount,decimal,,
APPayment,procurement,ap_payments,net_amount,decimal,,
APPayment,procurement,ap_payments,payment_date,integer,,
GoodsReceipt,procurement,goods_receipts,gr_number,string,,
GoodsReceipt,procurement,goods_receipts,receipt_date,integer,,
GoodsReceipt,procurement,goods_receipts,status,string,TransactionDocument,Lifecycle status (specific values defined per entity's state machine)
GoodsReceiptLine,procurement,goods_receipt_lines,line_number,integer,LineItem,Line item sequence number within a document
GoodsReceiptLine,procurement,goods_receipt_lines,quantity_kg,decimal,,
Ingredient,procurement,ingredients,category,string,,
Ingredient,procurement,ingredients,cost_per_kg,decimal,,
Ingredient,procurement,ingredients,ingredient_code,string,,
Ingredient,procurement,ingredients,is_active,boolean,HasActiveFlag,Soft-delete / active flag for master data entities
Ingredient,procurement,ingredients,name,string,HasName,Display name for the entity
PurchaseOrder,procurement,purchase_orders,order_date,integer,,
PurchaseOrder,procurement,purchase_orders,plant_id,integer,,
PurchaseOrder,procurement,purchase_orders,po_number,string,,
PurchaseOrder,procurement,purchase_orders,status,string,,
PurchaseOrder,procurement,purchase_orders,supplier_id,integer,,
PurchaseOrder,procurement,purchase_orders,transaction_sequence_id,integer,,
PurchaseOrderLine,procurement,purchase_order_lines,line_number,integer,LineItem,Line item sequence number within a document
PurchaseOrderLine,procurement,purchase_order_lines,quantity_kg,decimal,,
PurchaseOrderLine,procurement,purchase_order_lines,unit_cost,decimal,,
Supplier,procurement,suppliers,country,string,,
Supplier,procurement,suppliers,is_active,boolean,HasActiveFlag,Soft-delete / active flag for master data entities
Supplier,procurement,suppliers,name,string,HasName,Display name for the entity
Supplier,procurement,suppliers,supplier_code,string,,
Supplier,procurement,suppliers,tier,integer,,
SupplierIngredient,procurement,supplier_ingredients,lead_time_days,integer,,
SupplierIngredient,procurement,supplier_ingredients,min_order_qty,decimal,,
SupplierIngredient,procurement,supplier_ingredients,unit_cost,decimal,,
Batch,supply,batches,batch_number,string,,
Batch,supply,batches,bom_level,integer,,
Batch,supply,batches,product_type,string,,
Batch,supply,batches,production_date,integer,,
Batch,supply,batches,quantity_kg,decimal,,
Batch,supply,batches,status,string,TransactionDocument,Lifecycle status (specific values defined per entity's state machine)
Batch,supply,batches,yield_percent,decimal,,
BatchIngredient,supply,batch_ingredients,quantity_kg,decimal,,
BulkIntermediate,supply,bulk_intermediates,bulk_code,string,,
BulkIntermediate,supply,bulk_intermediates,category,string,,
BulkIntermediate,supply,bulk_intermediates,is_active,boolean,HasActiveFlag,Soft-delete / active flag for master data entities
BulkIntermediate,supply,bulk_intermediates,name,string,HasName,Display name for the entity
DistributionCenter,supply,distribution_centers,dc_code,string,,
DistributionCenter,supply,distribution_centers,is_active,boolean,HasActiveFlag,Soft-delete / active flag for master data entities
DistributionCenter,supply,distribution_centers,name,string,HasName,Display name for the entity
DistributionCenter,supply,distribution_centers,type,string,,
Formula,supply,formulas,batch_size_kg,decimal,,
Formula,supply,formulas,formula_code,string,,
Formula,supply,formulas,name,string,,
Formula,supply,formulas,yield_percent,decimal,,
FormulaIngredient,supply,formula_ingredients,quantity_kg,decimal,,
FormulaIngredient,supply,formula_ingredients,sequence,integer,,
Plant,supply,plants,capacity_tons_per_day,decimal,,
Plant,supply,plants,is_active,boolean,HasActiveFlag,Soft-delete / active flag for master data entities
Plant,supply,plants,name,string,HasName,Display name for the entity
Plant,supply,plants,plant_code,string,,
ProductionLine,supply,production_lines,capacity_units_per_hour,integer,,
ProductionLine,supply,production_lines,is_active,boolean,HasActiveFlag,Soft-delete / active flag for master data entities
ProductionLine,supply,production_lines,line_code,string,,
ProductionLine,supply,production_lines,line_type,string,,
RouteSegment,supply,route_segments,destination_type,LocationType,,
RouteSegment,supply,route_segments,distance_km,decimal,,
RouteSegment,supply,route_segments,origin_type,LocationType,,
RouteSegment,supply,route_segments,segment_code,string,,
RouteSegment,supply,route_segments,transit_time_hours,decimal,,
RouteSegment,supply,route_segments,transport_mode,string,,
SKU,supply,skus,brand,string,,
SKU,supply,skus,category,string,,
SKU,supply,skus,is_active,boolean,HasActiveFlag,Soft-delete / active flag for master data entities
SKU,supply,skus,name,string,HasName,Display name for the entity
SKU,supply,skus,price_per_case,decimal,,
SKU,supply,skus,sku_code,string,,
SKU,supply,skus,supersedes_sku_id,integer,,
WorkOrder,supply,work_orders,due_date,integer,,
WorkOrder,supply,work_orders,formula_id,integer,,
WorkOrder,supply,work_orders,planned_quantity_kg,decimal,,
WorkOrder,supply,work_orders,planned_start_date,integer,,
WorkOrder,supply,work_orders,plant_id,integer,,
WorkOrder,supply,work_orders,status,string,,
WorkOrder,supply,work_orders,transaction_sequence_id,integer,,
WorkOrder,supply,work_orders,wo_number,string,,
